Years After Graduation,Field of Study (2-digit CIP code),Median Income,cred_Bachelor's degree,cred_Certificate,cred_Diploma,cred_Doctoral degree,cred_Master's degree,cred_Professional bachelor's degree
-0.700,-0.82,64300,1,0,0,0,0,0
0.004,1.88,100500,0,1,0,0,0,0
-1.404,-1.62,33400,1,0,0,0,0,0
-1.404,-0.33,37800,0,0,1,0,0,0
1.413,0.13,70100,0,0,1,0,0,0
1.413,-0.82,74500,0,0,0,1,0,0
-0.700,2.26,78500,1,0,0,0,0,0
1.413,0.45,56500,1,0,0,0,0,0
0.004,-0.33,36200,0,1,0,0,0,0
1.413,-0.82,48100,0,0,1,0,0,0
-0.700,1.53,58800,1,0,0,0,0,0
-0.700,0.13,72700,0,0,0,0,1,0
1.413,0.13,102200,0,0,0,1,0,0
-0.700,-0.09,70000,0,0,0,0,1,0
1.413,-1.21,40400,0,1,0,0,0,0
0.709,-1.22,35600,0,1,0,0,0,0
-0.700,0.93,75800,0,0,1,0,0,0
-1.404,1.53,94800,0,0,0,0,1,0
-1.404,-1.50,24800,0,1,0,0,0,0
-1.404,-0.33,52000,1,0,0,0,0,0
0.709,2.26,74400,1,0,0,0,0,0
-1.404,-0.77,34800,0,0,1,0,0,0
1.413,-0.33,60000,1,0,0,0,0,0
-0.700,-1.62,38000,1,0,0,0,0,0
0.004,-0.92,40600,1,0,0,0,0,0
-0.700,-0.82,43900,1,0,0,0,0,0
-0.700,0.68,68000,0,0,1,0,0,0
1.413,1.53,31700,0,0,1,0,0,0
0.709,0.68,81500,0,0,1,0,0,0
-0.700,1.53,85700,0,0,0,0,1,0
0.709,-0.33,33500,0,1,0,0,0,0
1.413,0.30,54600,0,1,0,0,0,0
-1.404,0.67,42200,0,0,1,0,0,0
1.413,-0.33,48000,0,0,1,0,0,0
1.413,0.13,54600,0,0,0,0,0,1
0.709,-0.77,61900,0,0,0,0,1,0
-0.700,-0.82,62900,0,0,0,0,1,0
0.004,-0.10,62900,0,0,0,0,1,0
-1.404,-0.82,34000,0,1,0,0,0,0
0.709,0.68,67300,0,1,0,0,0,0
-1.404,1.53,50500,1,0,0,0,0,0
0.709,-1.50,52000,0,1,0,0,0,0
1.413,0.44,76700,0,0,0,1,0,0
1.413,-1.22,39900,0,0,1,0,0,0
0.004,-0.10,58300,1,0,0,0,0,0
-1.404,-0.09,58500,1,0,0,0,0,0
0.709,1.53,21500,0,0,1,0,0,0
-0.700,-0.10,55100,1,0,0,0,0,0
-0.700,2.26,76700,1,0,0,0,0,0
0.004,-0.77,38400,0,0,1,0,0,0
-0.700,0.19,60900,0,0,0,0,1,0
-1.404,-1.34,34500,0,0,1,0,0,0
0.004,-1.21,39900,0,1,0,0,0,0
1.413,0.30,70100,1,0,0,0,0,0
1.413,0.16,74200,0,0,0,0,1,0
-0.700,-0.33,37300,0,1,0,0,0,0
0.004,1.53,100400,0,0,0,0,1,0
0.709,2.26,86300,1,0,0,0,0,0
0.709,-1.66,41000,1,0,0,0,0,0
-0.700,1.53,52900,1,0,0,0,0,0
-0.700,0.13,39500,0,0,1,0,0,0
0.004,0.44,44800,1,0,0,0,0,0
0.709,0.44,47400,1,0,0,0,0,0
0.709,0.13,75900,0,0,1,0,0,0
0.709,0.62,51800,1,0,0,0,0,0
0.709,0.16,53600,0,0,1,0,0,0
-1.404,0.62,39500,0,0,1,0,0,0
1.413,0.13,46700,0,0,1,0,0,0
